episodeId,faultType,startTimestamp,endTimestamp,durationSeconds,peakSeverity
EP0001,DRY_RUN,2026-05-01T05:29:54Z,2026-05-01T05:34:37Z,284,0.8904
EP0002,MISALIGNMENT,2026-05-01T09:11:03Z,2026-05-01T09:43:12Z,1930,0.9856
EP0003,MISALIGNMENT,2026-05-01T14:42:23Z,2026-05-01T15:06:21Z,1439,0.9065
EP0004,CAVITATION,2026-05-01T17:16:07Z,2026-05-01T17:45:05Z,1739,0.8800
EP0005,IMPELLER_WEAR,2026-05-02T11:16:27Z,2026-05-02T11:44:16Z,1670,0.9282
EP0006,IMPELLER_WEAR,2026-05-02T16:31:28Z,2026-05-02T17:02:16Z,1849,0.8998
EP0007,DRY_RUN,2026-05-03T06:50:19Z,2026-05-03T06:59:50Z,572,0.8279
EP0008,THERMAL,2026-05-03T13:30:10Z,2026-05-03T13:43:53Z,824,0.8789
EP0009,DRY_RUN,2026-05-03T16:28:01Z,2026-05-03T16:37:08Z,548,0.8230
EP0010,MISALIGNMENT,2026-05-03T19:06:42Z,2026-05-03T19:29:12Z,1351,0.9186
EP0011,SEAL_LEAK,2026-05-03T23:18:21Z,2026-05-03T23:38:24Z,1204,0.8131
EP0012,THERMAL,2026-05-04T06:09:05Z,2026-05-04T06:46:26Z,2242,0.9556
EP0013,SEAL_LEAK,2026-05-04T12:07:21Z,2026-05-04T12:28:41Z,1281,0.8107
EP0014,IMPELLER_WEAR,2026-05-04T18:12:18Z,2026-05-04T18:35:38Z,1401,0.9092
EP0015,BEARING,2026-05-04T22:51:35Z,2026-05-04T23:30:19Z,2325,0.8800
EP0016,MISALIGNMENT,2026-05-05T04:49:26Z,2026-05-05T05:05:19Z,954,0.8808
EP0017,IMPELLER_WEAR,2026-05-05T07:51:56Z,2026-05-05T08:13:41Z,1306,0.8866
EP0018,BEARING,2026-05-05T10:48:22Z,2026-05-05T11:01:12Z,771,0.8231
EP0019,DRY_RUN,2026-05-05T12:10:53Z,2026-05-05T12:19:53Z,541,0.9141
EP0020,IMPELLER_WEAR,2026-05-05T13:35:02Z,2026-05-05T14:12:27Z,2246,0.9625
EP0021,MISALIGNMENT,2026-05-05T21:14:47Z,2026-05-05T21:53:23Z,2317,0.9364
EP0022,IMPELLER_WEAR,2026-05-06T03:20:18Z,2026-05-06T03:56:54Z,2197,0.8197
EP0023,CAVITATION,2026-05-06T12:26:03Z,2026-05-06T12:53:00Z,1618,0.8319
EP0024,THERMAL,2026-05-06T23:42:33Z,2026-05-07T00:18:40Z,2168,0.8895
EP0025,DRY_RUN,2026-05-07T02:35:01Z,2026-05-07T02:37:56Z,176,0.8951
EP0026,DRY_RUN,2026-05-07T09:36:54Z,2026-05-07T09:43:38Z,405,0.8822
EP0027,BEARING,2026-05-07T11:05:13Z,2026-05-07T11:23:23Z,1091,0.9035
EP0028,IMPELLER_WEAR,2026-05-07T17:58:07Z,2026-05-07T18:32:34Z,2068,0.9484
EP0029,BEARING,2026-05-08T01:48:15Z,2026-05-08T02:14:35Z,1581,0.8119
EP0030,DRY_RUN,2026-05-08T05:34:40Z,2026-05-08T05:38:41Z,242,0.9334
EP0031,MISALIGNMENT,2026-05-08T19:36:51Z,2026-05-08T19:58:39Z,1309,0.9061
EP0032,THERMAL,2026-05-09T09:20:15Z,2026-05-09T09:49:07Z,1733,0.8301
EP0033,SEAL_LEAK,2026-05-09T14:20:54Z,2026-05-09T14:37:07Z,974,0.8164
EP0034,CAVITATION,2026-05-09T19:18:18Z,2026-05-09T19:51:12Z,1975,0.9079
