Engine_rpm,suctionPressure,dischargePressure,flowRate,motorTemp,vibration,Engine_Condition
496,4.70624017,5.249898286,87.405001,70.54209474,1.685686,0
836,3.96002691,4.928546244,91.649186,84.09830728,9.288722,1
623,3.055244491,9.494611635,100.823283,72.92768818,2.074320,0
675,2.785797256,5.463946609,81.626591,82.90745278,13.832279,1
1412,2.816021661,4.001409919,117.269769,71.17692691,13.155846,1
414,3.928895846,4.468992595,60.367617,80.17177589,10.143369,1
1041,2.618464458,6.031471853,103.794656,74.213489,8.180705,1
975,5.964634853,4.001450229,123.774019,80.23123486,2.173092,0
1158,2.653551652,4.95609747,136.177486,82.82152323,2.310465,0
1357,4.045930591,7.247099906,121.251587,87.12036286,9.835207,1
767,3.675061993,6.603298744,110.856366,71.87110652,2.045314,0
1179,3.308126694,6.162965271,141.618160,71.43085438,2.037493,0
956,3.720926295,5.05015851,92.505078,75.35054442,14.009102,1
1057,2.237830373,5.631611519,139.884208,76.76005885,1.792474,0
854,5.325311975,3.992183491,117.048437,82.20909442,1.822651,0
855,3.087465037,5.170975444,118.772893,81.37270588,1.949355,0
1096,2.480398567,5.149975398,106.414973,78.01595898,14.814557,1
434,4.442972746,7.090542256,63.169085,83.18831276,12.001773,1
822,3.310683869,5.627634476,88.089617,78.11730689,8.640217,1
569,3.736062689,5.7291344,68.364270,79.45186304,12.145293,1
952,2.406550016,7.418634881,91.745419,78.45281201,14.956169,1
973,2.349488362,5.715477129,91.381865,77.50673439,8.644431,1
554,3.396276209,10.29029668,67.621701,83.10626682,11.162563,1
811,4.851543187,3.622093695,82.451913,82.37460138,12.729198,1
540,3.081386847,4.375281144,69.048760,79.3204985,10.162839,1
778,3.538907361,5.208443444,85.030412,73.38530785,12.492558,1
563,2.217111772,6.034854522,68.075004,77.73104383,10.522687,1
1033,2.036131924,4.932127866,94.781978,69.71027153,14.456622,1
804,4.572660164,5.992453321,83.132932,79.80513975,12.478897,1
369,2.746006964,6.989355267,61.479505,75.69747768,15.010757,1
798,5.789154068,6.727879187,81.762475,79.90657695,14.998298,1
437,3.900054375,6.734776114,85.637556,78.00277131,1.507764,0
1221,4.420860074,5.888118911,111.680371,90.00672576,15.216541,1
946,2.337909938,5.878699254,125.222083,81.37253081,1.947515,0
654,2.12681119,6.048616774,101.851143,85.56178181,1.985765,0
800,3.403040218,5.070474401,84.687148,75.29601032,10.380646,1
1388,2.991451124,4.277201458,122.643205,82.12003734,13.362419,1
576,4.796218769,8.315169979,74.426715,90.11710974,15.200298,1
1307,3.771456913,2.955203604,160.752517,81.62351367,1.888467,0
663,4.798852519,7.292508675,80.333201,70.38682831,12.195318,1
582,1.305754757,5.211494013,70.128559,75.58095225,9.229965,1
1145,4.436744615,5.686701371,136.974395,71.00266913,1.966972,0
673,1.826225607,8.799340093,105.754287,83.42322758,1.762485,0
469,2.244982914,7.020500865,62.550483,86.21917274,10.319223,1
739,2.464748241,8.192445879,108.473020,87.95084449,1.769759,0
1240,4.557669241,4.769485567,116.736732,75.29450069,13.473525,1
529,2.59155178,7.383816959,71.915578,76.08376101,7.914236,1
835,3.516407935,3.704002371,86.908546,73.33782249,9.756192,1
848,2.474462655,5.649182722,119.193191,77.66087443,1.777361,0
754,2.931880538,5.210594877,80.801707,81.21398998,11.059759,1
510,4.641280446,3.945978301,90.046207,74.07458294,2.028896,0
450,0.699887698,4.111951561,63.974279,72.8898093,10.226732,1
658,3.201742,6.108218354,78.859614,69.75539582,13.119831,1
529,3.215983834,5.469481063,68.413211,75.39119034,14.070689,1
1799,2.776676439,7.228797563,139.002795,78.95137827,12.946473,1
84,3.830491098,4.907142035,41.294495,77.40797796,10.246878,1
798,1.988798241,2.982691903,117.435278,76.03431603,1.855465,0
1083,4.867080395,4.984865361,137.169193,81.06430222,2.209027,0
633,2.211678726,7.715703141,104.409667,81.73380535,1.862033,0
918,2.981941209,11.24553877,94.296574,92.01486244,14.662177,1
668,2.541819792,5.145479719,80.376136,70.38139692,11.622260,1
488,0.325005426,8.190475564,69.528268,77.30819501,9.275984,1
813,4.485256962,8.60506641,82.994983,77.23755386,9.853054,1
413,3.492244437,6.194312143,59.205674,78.46429928,11.096925,1
1185,3.764830046,10.67399172,139.678761,75.17431356,1.988837,0
1057,2.054570787,6.884651576,98.740296,87.62744631,11.494922,1
643,2.62585753,8.451584951,101.576885,68.85950411,1.536049,0
659,4.495829469,5.978983711,78.389453,83.49759944,14.444525,1
429,3.378733978,3.557734043,82.646095,93.98068928,1.920482,0
1087,4.294720701,3.272855489,143.011653,75.42729139,1.883094,0
671,4.183711117,7.13686938,76.500060,79.17833622,9.572052,1
